Nom;Numéro;Protocole;Description
ansatrader;124;TCP;ANSA REX Trader
ansatrader;124;UDP;ANSA REX Trader
locus-map;125;TCP;Locus PC-Interface Net Map Ser
locus-map;125;UDP;Locus PC-Interface Net Map Ser
nxedit;126;TCP;NXEdit
nxedit;126;UDP;NXEdit
locus-con;127;TCP;Locus PC-Interface Conn Server
locus-con;127;UDP;Locus PC-Interface Conn Server
gss-xlicen;128;TCP;GSS X License Verification
gss-xlicen;128;UDP;GSS X License Verification
pwdgen;129;TCP;Password Generator Protocol
pwdgen;129;UDP;Password Generator Protocol
cisco-fna;130;TCP;cisco FNATIVE
cisco-fna;130;UDP;cisco FNATIVE
cisco-tna;131;TCP;cisco TNATIVE
cisco-tna;131;UDP;cisco TNATIVE
cisco-sys;132;TCP;cisco SYSMAINT
cisco-sys;132;UDP;cisco SYSMAINT
statsrv;133;TCP;Statistics Service
statsrv;133;UDP;Statistics Service
ingres-net;134;TCP;INGRES-NET Service
ingres-net;134;UDP;INGRES-NET Service
epmap;135;TCP;DCE endpoint resolution
epmap;135;UDP;DCE endpoint resolution
profile;136;TCP;PROFILE Naming System
profile;136;UDP;PROFILE Naming System
netbios-ns;137;TCP;NETBIOS Name Service
netbios-ns;137;UDP;NETBIOS Name Service
netbios-dgm;138;TCP;NETBIOS Datagram Service
netbios-dgm;138;UDP;NETBIOS Datagram Service
netbios-ssn;139;TCP;NETBIOS Session Service
netbios-ssn;139;UDP;NETBIOS Session Service
emfis-data;140;TCP;EMFIS Data Service
emfis-data;140;UDP;EMFIS Data Service
emfis-cntl;141;TCP;EMFIS Control Service
emfis-cntl;141;UDP;EMFIS Control Service
bl-idm;142;TCP;Britton-Lee IDM
bl-idm;142;UDP;Britton-Lee IDM
imap;143;TCP;Internet Message Access Protocol
imap;143;UDP;Internet Message Access Protocol
uma;144;TCP;Universal Management Architecture
uma;144;UDP;Universal Management Architecture
uaac;145;TCP;UAAC Protocol
uaac;145;UDP;UAAC Protocol
iso-tp0;146;TCP;ISO-IP0
iso-tp0;146;UDP;ISO-IP0
iso-ip;147;TCP;ISO-IP
iso-ip;147;UDP;ISO-IP
jargon;148;TCP;Jargon
jargon;148;UDP;Jargon
aed-512;149;TCP;AED 512 Emulation Service
aed-512;149;UDP;AED 512 Emulation Service
sql-net;150;TCP;SQL-NET
sql-net;150;UDP;SQL-NET
hems;151;TCP;HEMS
hems;151;UDP;HEMS
bftp;152;TCP;Background File Transfer Program
bftp;152;UDP;Background File Transfer Program
sgmp;153;TCP;SGMP
sgmp;153;UDP;SGMP
netsc-prod;154;TCP;NETSC
netsc-prod;154;UDP;NETSC
netsc-dev;155;TCP;NETSC
netsc-dev;155;UDP;NETSC
sqlsrv;156;TCP;SQL Service
sqlsrv;156;UDP;SQL Service
knet-cmp;157;TCP;KNET/VM Command/Message Protocol
knet-cmp;157;UDP;KNET/VM Command/Message Protocol
pcmail-srv;158;TCP;PCMail Server
pcmail-srv;158;UDP;PCMail Server
nss-routing;159;TCP;NSS-Routing
nss-routing;159;UDP;NSS-Routing
sgmp-traps;160;TCP;SGMP-TRAPS
sgmp-traps;160;UDP;SGMP-TRAPS
snmp;161;TCP;SNMP
snmp;161;UDP;SNMP
snmptrap;162;TCP;SNMPTRAP
snmptrap;162;UDP;SNMPTRAP
cmip-man;163;TCP;CMIP/TCP Manager
cmip-man;163;UDP;CMIP/TCP Manager
cmip-agent;164;TCP;CMIP/TCP Agent
cmip-agent;164;UDP;CMIP/TCP Agent
xns-courier;165;TCP;Xerox
xns-courier;165;UDP;Xerox
s-net;166;TCP;Sirius Systems
s-net;166;UDP;Sirius Systems
namp;167;TCP;NAMP
namp;167;UDP;NAMP
rsvd;168;TCP;RSVD
rsvd;168;UDP;RSVD
send;169;TCP;SEND
send;169;UDP;SEND
print-srv;170;TCP;Network PostScript
print-srv;170;UDP;Network PostScript
multiplex;171;TCP;Network Innovations Multiplex
multiplex;171;UDP;Network Innovations Multiplex
cl-1;172;TCP;Network Innovations CL/1
cl/1;172;TCP;Network Innovations CL/1
cl-1;172;UDP;Network Innovations CL/1
cl/1;172;UDP;Network Innovations CL/1
xyplex-mux;173;TCP;Xyplex
xyplex-mux;173;UDP;Xyplex
mailq;174;TCP;MAILQ
mailq;174;UDP;MAILQ
vmnet;175;TCP;VMNET
vmnet;175;UDP;VMNET
genrad-mux;176;TCP;GENRAD-MUX
genrad-mux;176;UDP;GENRAD-MUX
xdmcp;177;TCP;X Display Manager Control Protocol
xdmcp;177;UDP;X Display Manager Control Protocol
nextstep;178;TCP;NextStep Window Server
nextstep;178;UDP;NextStep Window Server
bgp;179;UDP;BGP
bgp;179;TCP;Border Gateway Protocol
bgp;179;UDP;Border Gateway Protocol
ris;180;TCP;Intergraph
ris;180;UDP;Intergraph
unify;181;TCP;Unify
unify;181;UDP;Unify
audit;182;TCP;Unisys Audit SITP
audit;182;UDP;Unisys Audit SITP
ocbinder;183;TCP;OCBinder
ocbinder;183;UDP;OCBinder
ocserver;184;TCP;OCServer
ocserver;184;UDP;OCServer
remote-kis;185;TCP;Remote-KIS
remote-kis;185;UDP;Remote-KIS
kis;186;TCP;KIS Protocol
kis;186;UDP;KIS Protocol
aci;187;TCP;Application Communication Interface
aci;187;UDP;Application Communication Interface
mumps;188;TCP;Plus Five's MUMPS
mumps;188;UDP;Plus Five's MUMPS
qft;189;TCP;Queued File Transport
qft;189;UDP;Queued File Transport
gacp;190;TCP;Gateway Access Control Protocol
gacp;190;UDP;Gateway Access Control Protocol
prospero;191;TCP;Prospero Directory Service
prospero;191;UDP;Prospero Directory Service
osu-nms;192;TCP;OSU Network Monitoring System
osu-nms;192;UDP;OSU Network Monitoring System
srmp;193;TCP;Spider Remote Monitoring Protocol
srmp;193;UDP;Spider Remote Monitoring Protocol
irc;194;TCP;Internet Relay Chat Protocol
irc;194;UDP;Internet Relay Chat Protocol
dn6-nlm-aud;195;TCP;DNSIX Network Level Module Audit
dn6-nlm-aud;195;UDP;DNSIX Network Level Module Audit
dn6-smm-red;196;TCP;DNSIX Session Mgt Module Audit Redir
dn6-smm-red;196;UDP;DNSIX Session Mgt Module Audit Redir
dls;197;TCP;Directory Location Service
dls;197;UDP;Directory Location Service
dls-mon;198;TCP;Directory Location Service Monitor
dls-mon;198;UDP;Directory Location Service Monitor
smux;199;TCP;SMUX
smux;199;UDP;SMUX
src;200;TCP;IBM System Resource Controller
src;200;UDP;IBM System Resource Controller
at-rtmp;201;TCP;AppleTalk Routing Maintenance
at-rtmp;201;UDP;AppleTalk Routing Maintenance
at-nbp;202;TCP;AppleTalk Name Binding
at-nbp;202;UDP;AppleTalk Name Binding
at-3;203;TCP;AppleTalk Unused
at-3;203;UDP;AppleTalk Unused
at-echo;204;TCP;AppleTalk Echo
at-echo;204;UDP;AppleTalk Echo
at-5;205;TCP;AppleTalk Unused
at-5;205;UDP;AppleTalk Unused
at-zis;206;TCP;AppleTalk Zone Information
at-zis;206;UDP;AppleTalk Zone Information
at-7;207;TCP;AppleTalk Unused
at-7;207;UDP;AppleTalk Unused
at-8;208;TCP;AppleTalk Unused
at-8;208;UDP;AppleTalk Unused
qmtp;209;TCP;The Quick Mail Transfer Protocol
qmtp;209;UDP;The Quick Mail Transfer Protocol
z39-50;210;TCP;ANSI Z39.50
z39.50;210;TCP;ANSI Z39.50
z39-50;210;UDP;ANSI Z39.50
z39.50;210;UDP;ANSI Z39.50
914c-g;211;TCP;Texas Instruments 914C/G Terminal
914c/g;211;TCP;Texas Instruments 914C/G Terminal
914c-g;211;UDP;Texas Instruments 914C/G Terminal
914c/g;211;UDP;Texas Instruments 914C/G Terminal
anet;212;TCP;ATEXSSTR
anet;212;UDP;ATEXSSTR
ipx;213;TCP;IPX
ipx;213;UDP;IPX
vmpwscs;214;TCP;VM PWSCS
vmpwscs;214;UDP;VM PWSCS
softpc;215;TCP;Insignia Solutions
softpc;215;UDP;Insignia Solutions
CAIlic;216;TCP;Computer Associates Int'l License Server
CAIlic;216;UDP;Computer Associates Int'l License Server
dbase;217;TCP;dBASE Unix
dbase;217;UDP;dBASE Unix
mpp;218;TCP;Netix Message Posting Protocol
mpp;218;UDP;Netix Message Posting Protocol
uarps;219;TCP;Unisys ARPs
uarps;219;UDP;Unisys ARPs
imap3;220;TCP;Interactive Mail Access Protocol v3
imap3;220;UDP;Interactive Mail Access Protocol v3
fln-spx;221;TCP;Berkeley rlogind with SPX auth
fln-spx;221;UDP;Berkeley rlogind with SPX auth
rsh-spx;222;TCP;Berkeley rshd with SPX auth
rsh-spx;222;UDP;Berkeley rshd with SPX auth
cdc;223;TCP;Certificate Distribution Center
cdc;223;UDP;Certificate Distribution Center
masqdialer;224;TCP;masqdialer
masqdialer;224;UDP;masqdialer
direct;242;TCP;Direct
direct;242;UDP;Direct
sur-meas;243;TCP;Survey Measurement
sur-meas;243;UDP;Survey Measurement
inbusiness;244;TCP;inbusiness
inbusiness;244;UDP;inbusiness
link;245;TCP;LINK
link;245;UDP;LINK
dsp3270;246;TCP;Display Systems Protocol
dsp3270;246;UDP;Display Systems Protocol
subntbcst-tftp;247;TCP;SUBNTBCST_TFTP
subntbcst_tftp;247;TCP;SUBNTBCST_TFTP
subntbcst-tftp;247;UDP;SUBNTBCST_TFTP
subntbcst_tftp;247;UDP;SUBNTBCST_TFTP
bhfhs;248;TCP;bhfhs
bhfhs;248;UDP;bhfhs
rap;256;TCP;RAP
rap;256;UDP;RAP
set;257;TCP;Secure Electronic Transaction
set;257;UDP;Secure Electronic Transaction
Unassigned;258;UDP;Unassigned
esro-gen;259;TCP;Efficient Short Remote Operations
esro-gen;259;UDP;Efficient Short Remote Operations
openport;260;TCP;Openport
openport;260;UDP;Openport
nsiiops;261;TCP;IIOP Name Service over TLS/SSL
nsiiops;261;UDP;IIOP Name Service over TLS/SSL
arcisdms;262;TCP;Arcisdms
arcisdms;262;UDP;Arcisdms
hdap;263;TCP;HDAP
hdap;263;UDP;HDAP
bgmp;264;TCP;BGMP
bgmp;264;UDP;BGMP
x-bone-ctl;265;TCP;X-Bone CTL
x-bone-ctl;265;UDP;X-Bone CTL
sst;266;TCP;SCSI on ST
sst;266;UDP;SCSI on ST
td-service;267;TCP;Tobit David Service Layer
td-service;267;UDP;Tobit David Service Layer
td-replica;268;TCP;Tobit David Replica
td-replica;268;UDP;Tobit David Replica
manet;269;TCP;MANET Protocols
manet;269;UDP;MANET Protocols
Unassigned;270;TCP;Reserved
gist;270;UDP;Q-mode encapsulation for GIST messages
pt-tls;271;TCP;IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
Unassigned;271;UDP;Reserved
http-mgmt;280;TCP;http-mgmt
http-mgmt;280;UDP;http-mgmt
personal-link;281;TCP;Personal Link
personal-link;281;UDP;Personal Link
cableport-ax;282;TCP;Cable Port A/X
cableport-ax;282;UDP;Cable Port A/X
rescap;283;TCP;rescap
rescap;283;UDP;rescap
corerjd;284;TCP;corerjd
corerjd;284;UDP;corerjd
Unassigned;285;UDP;Unassigned
fxp;286;TCP;FXP Communication
fxp;286;UDP;FXP Communication
k-block;287;TCP;K-BLOCK
k-block;287;UDP;K-BLOCK
novastorbakcup;308;TCP;Novastor Backup
novastorbakcup;308;UDP;Novastor Backup
entrusttime;309;TCP;EntrustTime
entrusttime;309;UDP;EntrustTime
bhmds;310;TCP;bhmds
bhmds;310;UDP;bhmds
asip-webadmin;311;TCP;AppleShare IP WebAdmin
asip-webadmin;311;UDP;AppleShare IP WebAdmin
vslmp;312;TCP;VSLMP
vslmp;312;UDP;VSLMP
magenta-logic;313;TCP;Magenta Logic
magenta-logic;313;UDP;Magenta Logic
opalis-robot;314;TCP;Opalis Robot
opalis-robot;314;UDP;Opalis Robot
dpsi;315;TCP;DPSI
dpsi;315;UDP;DPSI
decauth;316;TCP;decAuth
decauth;316;UDP;decAuth
zannet;317;TCP;Zannet
zannet;317;UDP;Zannet
pkix-timestamp;318;TCP;PKIX TimeStamp
pkix-timestamp;318;UDP;PKIX TimeStamp
ptp-event;319;TCP;PTP Event
ptp-event;319;UDP;PTP Event
ptp-general;320;TCP;PTP General
ptp-general;320;UDP;PTP General
pip;321;TCP;PIP
pip;321;UDP;PIP
rtsps;322;TCP;RTSPS
rtsps;322;UDP;RTSPS
rpki-rtr;323;TCP;Resource PKI to Router Protocol
Unassigned;323;UDP;Reserved
rpki-rtr-tls;324;TCP;Resource PKI to Router Protocol over TLS
Unassigned;324;UDP;Reserved
texar;333;TCP;Texar Security Port
texar;333;UDP;Texar Security Port
pdap;344;TCP;Prospero Data Access Protocol
pdap;344;UDP;Prospero Data Access Protocol
pawserv;345;TCP;Perf Analysis Workbench
pawserv;345;UDP;Perf Analysis Workbench
zserv;346;TCP;Zebra server
zserv;346;UDP;Zebra server
fatserv;347;TCP;Fatmen Server
fatserv;347;UDP;Fatmen Server
csi-sgwp;348;TCP;Cabletron Management Protocol
csi-sgwp;348;UDP;Cabletron Management Protocol
mftp;349;TCP;mftp
mftp;349;UDP;mftp
matip-type-a;350;TCP;MATIP Type A
matip-type-a;350;UDP;MATIP Type A
matip-type-b;351;TCP;MATIP Type B
bhoetty;351;TCP;bhoetty
matip-type-b;351;UDP;MATIP Type B
bhoetty;351;UDP;bhoetty
dtag-ste-sb;352;TCP;DTAG
bhoedap4;352;TCP;bhoedap4
dtag-ste-sb;352;UDP;DTAG
bhoedap4;352;UDP;bhoedap4
ndsauth;353;TCP;NDSAUTH
ndsauth;353;UDP;NDSAUTH
bh611;354;TCP;bh611
bh611;354;UDP;bh611
datex-asn;355;TCP;DATEX-ASN
datex-asn;355;UDP;DATEX-ASN
cloanto-net-1;356;TCP;Cloanto Net 1
cloanto-net-1;356;UDP;Cloanto Net 1
bhevent;357;TCP;bhevent
bhevent;357;UDP;bhevent
shrinkwrap;358;TCP;Shrinkwrap
shrinkwrap;358;UDP;Shrinkwrap
nsrmp;359;TCP;Network Security Risk Management Protocol
nsrmp;359;UDP;Network Security Risk Management Protocol
scoi2odialog;360;TCP;scoi2odialog
scoi2odialog;360;UDP;scoi2odialog
semantix;361;TCP;Semantix
semantix;361;UDP;Semantix
srssend;362;TCP;SRS Send
srssend;362;UDP;SRS Send
rsvp-tunnel;363;TCP;RSVP Tunnel
rsvp_tunnel;363;TCP;RSVP Tunnel
rsvp-tunnel;363;UDP;RSVP Tunnel
rsvp_tunnel;363;UDP;RSVP Tunnel
aurora-cmgr;364;TCP;Aurora CMGR
aurora-cmgr;364;UDP;Aurora CMGR
dtk;365;TCP;DTK
dtk;365;UDP;DTK
odmr;366;TCP;ODMR
odmr;366;UDP;ODMR
mortgageware;367;TCP;MortgageWare
mortgageware;367;UDP;MortgageWare
qbikgdp;368;TCP;QbikGDP
qbikgdp;368;UDP;QbikGDP
rpc2portmap;369;TCP;rpc2portmap
rpc2portmap;369;UDP;rpc2portmap
codaauth2;370;TCP;codaauth2
codaauth2;370;UDP;codaauth2
clearcase;371;TCP;Clearcase
clearcase;371;UDP;Clearcase
ulistproc;372;TCP;ListProcessor
ulistproc;372;UDP;ListProcessor
legent-1;373;TCP;Legent Corporation
legent-1;373;UDP;Legent Corporation
legent-2;374;TCP;Legent Corporation
legent-2;374;UDP;Legent Corporation
hassle;375;TCP;Hassle
hassle;375;UDP;Hassle
nip;376;TCP;Amiga Envoy Network Inquiry Proto
nip;376;UDP;Amiga Envoy Network Inquiry Proto
tnETOS;377;TCP;NEC Corporation
tnETOS;377;UDP;NEC Corporation
dsETOS;378;TCP;NEC Corporation
dsETOS;378;UDP;NEC Corporation
is99c;379;TCP;TIA/EIA/IS-99 modem client
is99c;379;UDP;TIA/EIA/IS-99 modem client
is99s;380;TCP;TIA/EIA/IS-99 modem server
is99s;380;UDP;TIA/EIA/IS-99 modem server
hp-collector;381;TCP;hp performance data collector
hp-collector;381;UDP;hp performance data collector
hp-managed-node;382;TCP;hp performance data managed node
hp-managed-node;382;UDP;hp performance data managed node
hp-alarm-mgr;383;TCP;hp performance data alarm manager
hp-alarm-mgr;383;UDP;hp performance data alarm manager
arns;384;TCP;A Remote Network Server System
arns;384;UDP;A Remote Network Server System
ibm-app;385;TCP;IBM Application
ibm-app;385;UDP;IBM Application
asa;386;TCP;ASA Message Router Object Def.
asa;386;UDP;ASA Message Router Object Def.
aurp;387;TCP;Appletalk Update-Based Routing Pro.
aurp;387;UDP;Appletalk Update-Based Routing Pro.
unidata-ldm;388;TCP;Unidata LDM
unidata-ldm;388;UDP;Unidata LDM
ldap;389;TCP;Lightweight Directory Access Protocol
ldap;389;UDP;Lightweight Directory Access Protocol
uis;390;TCP;UIS
uis;390;UDP;UIS
synotics-relay;391;TCP;SynOptics SNMP Relay Port
synotics-relay;391;UDP;SynOptics SNMP Relay Port
synotics-broker;392;TCP;SynOptics Port Broker Port
synotics-broker;392;UDP;SynOptics Port Broker Port
meta5;393;TCP;Meta5
meta5;393;UDP;Meta5
embl-ndt;394;TCP;EMBL Nucleic Data Transfer
embl-ndt;394;UDP;EMBL Nucleic Data Transfer
netcp;395;TCP;NetScout Control Protocol
netcp;395;UDP;NetScout Control Protocol
netware-ip;396;TCP;Novell Netware over IP
netware-ip;396;UDP;Novell Netware over IP
mptn;397;TCP;Multi Protocol Trans. Net.
mptn;397;UDP;Multi Protocol Trans. Net.
kryptolan;398;TCP;Kryptolan
